Entry	Reviewed	Entry Name	Protein names	Gene Names	Length	Gene Names (ordered locus)	Gene Names (primary)	Gene Names (ORF)	Proteomes
A0A371C3A9	unreviewed	A0A371C3A9_YARLL	Putative lipase ATG15 (EC 3.1.1.3) (Autophagy-related protein 15) (Putative lipase atg15)	B0I71DRAFT_134200	548			B0I71DRAFT_134200	UP000256601: Unassembled WGS sequence
A0A371C3B0	unreviewed	A0A371C3B0_YARLL	Imidazole glycerol phosphate synthase hisHF [Includes: Glutaminase (EC 3.5.1.2); Cyclase]	B0I71DRAFT_134031	553			B0I71DRAFT_134031	UP000256601: Unassembled WGS sequence
A0A371C3G2	unreviewed	A0A371C3G2_YARLL	Adenylate kinase (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate kinase cytosolic and mitochondrial) (Adenylate monophosphate kinase)	ADK1 B0I71DRAFT_133598	251		ADK1	B0I71DRAFT_133598	UP000256601: Unassembled WGS sequence
A0A371C3N0	unreviewed	A0A371C3N0_YARLL	Glutamate synthase [NADH] (EC 1.4.1.14)	B0I71DRAFT_99973	2119			B0I71DRAFT_99973	UP000256601: Unassembled WGS sequence
A0A371C3Q7	unreviewed	A0A371C3Q7_YARLL	ADP/ATP translocase (ADP,ATP carrier protein)	B0I71DRAFT_159820	312			B0I71DRAFT_159820	UP000256601: Unassembled WGS sequence
A0A371C3S6	unreviewed	A0A371C3S6_YARLL	Formate dehydrogenase (FDH) (EC 1.17.1.9) (NAD-dependent formate dehydrogenase)	B0I71DRAFT_44964	368			B0I71DRAFT_44964	UP000256601: Unassembled WGS sequence
A0A371C3U3	unreviewed	A0A371C3U3_YARLL	Very-long-chain 3-oxoacyl-CoA reductase (EC 1.1.1.330) (3-ketoacyl-CoA reductase) (3-ketoreductase) (KAR) (Microsomal beta-keto-reductase)	B0I71DRAFT_133434	389			B0I71DRAFT_133434	UP000256601: Unassembled WGS sequence
A0A371C494	unreviewed	A0A371C494_YARLL	Kinesin-like protein	B0I71DRAFT_133115	887			B0I71DRAFT_133115	UP000256601: Unassembled WGS sequence
A0A371C4Y9	unreviewed	A0A371C4Y9_YARLL	DNA ligase (EC 6.5.1.1)	B0I71DRAFT_132704	727			B0I71DRAFT_132704	UP000256601: Unassembled WGS sequence
A0A371C563	unreviewed	A0A371C563_YARLL	Polyprenal reductase (EC 1.3.1.94)	B0I71DRAFT_132539	333			B0I71DRAFT_132539	UP000256601: Unassembled WGS sequence
A0A371C585	unreviewed	A0A371C585_YARLL	Crossover junction endonuclease MUS81 (EC 3.1.22.-)	B0I71DRAFT_132463	617			B0I71DRAFT_132463	UP000256601: Unassembled WGS sequence
A0A371C5A0	unreviewed	A0A371C5A0_YARLL	Serine/threonine-protein kinase MEC1 (EC 2.7.11.1) (ATR homolog) (DNA-damage checkpoint kinase MEC1) (Mitosis entry checkpoint protein 1)	B0I71DRAFT_119771	1845			B0I71DRAFT_119771	UP000256601: Unassembled WGS sequence
A0A371C5A4	unreviewed	A0A371C5A4_YARLL	PAN2-PAN3 deadenylation complex subunit PAN3 (PAB1P-dependent poly(A)-specific ribonuclease) (Poly(A)-nuclease deadenylation complex subunit 3) (PAN deadenylation complex subunit 3)	PAN3 B0I71DRAFT_132520	600		PAN3	B0I71DRAFT_132520	UP000256601: Unassembled WGS sequence
A0A371C5D5	unreviewed	A0A371C5D5_YARLL	FACT complex subunit POB3	B0I71DRAFT_133039	544			B0I71DRAFT_133039	UP000256601: Unassembled WGS sequence
A0A371C5H1	unreviewed	A0A371C5H1_YARLL	Methylthioribose-1-phosphate isomerase (M1Pi) (MTR-1-P isomerase) (EC 5.3.1.23) (S-methyl-5-thioribose-1-phosphate isomerase) (Translation initiation factor eIF-2B subunit alpha/beta/delta-like protein)	MRI1 B0I71DRAFT_39430	372		MRI1	B0I71DRAFT_39430	UP000256601: Unassembled WGS sequence
A0A371C5J2	unreviewed	A0A371C5J2_YARLL	Fructose-1,6-bisphosphatase (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase)	B0I71DRAFT_98522	338			B0I71DRAFT_98522	UP000256601: Unassembled WGS sequence
A0A371C5K8	unreviewed	A0A371C5K8_YARLL	Glycosidase (EC 3.2.-.-)	B0I71DRAFT_165156	579			B0I71DRAFT_165156	UP000256601: Unassembled WGS sequence
A0A371C5Q7	unreviewed	A0A371C5Q7_YARLL	Formate dehydrogenase (FDH) (EC 1.17.1.9) (NAD-dependent formate dehydrogenase)	B0I71DRAFT_165261	368			B0I71DRAFT_165261	UP000256601: Unassembled WGS sequence
A0A371C5Q9	unreviewed	A0A371C5Q9_YARLL	Sm protein B	B0I71DRAFT_165106	164			B0I71DRAFT_165106	UP000256601: Unassembled WGS sequence
A0A371C5T1	unreviewed	A0A371C5T1_YARLL	Serine/threonine-protein kinase SCH9 (EC 2.7.11.1)	B0I71DRAFT_132205	683			B0I71DRAFT_132205	UP000256601: Unassembled WGS sequence
A0A371C6F0	unreviewed	A0A371C6F0_YARLL	Arp2/3 complex 20 kDa	B0I71DRAFT_153002	1080			B0I71DRAFT_153002	UP000256601: Unassembled WGS sequence
A0A371C6H9	unreviewed	A0A371C6H9_YARLL	Ketol-acid reductoisomerase, mitochondrial (EC 1.1.1.86) (Acetohydroxy-acid reductoisomerase) (Alpha-keto-beta-hydroxylacyl reductoisomerase)	B0I71DRAFT_131815	398			B0I71DRAFT_131815	UP000256601: Unassembled WGS sequence
A0A371C712	unreviewed	A0A371C712_YARLL	Hydroxyethylthiazole kinase family-domain-containing protein	B0I71DRAFT_131511	511			B0I71DRAFT_131511	UP000256601: Unassembled WGS sequence
A0A371C749	unreviewed	A0A371C749_YARLL	Folylpolyglutamate synthase (EC 6.3.2.17) (Folylpoly-gamma-glutamate synthetase) (Tetrahydrofolylpolyglutamate synthase)	B0I71DRAFT_35293	494			B0I71DRAFT_35293	UP000256601: Unassembled WGS sequence
A0A371C7L5	unreviewed	A0A371C7L5_YARLL	alpha-1,2-Mannosidase (EC 3.2.1.-)	B0I71DRAFT_131306	774			B0I71DRAFT_131306	UP000256601: Unassembled WGS sequence
A0A371C7T6	unreviewed	A0A371C7T6_YARLL	Lon protease homolog, mitochondrial (EC 3.4.21.53)	PIM1 B0I71DRAFT_131592	1140		PIM1	B0I71DRAFT_131592	UP000256601: Unassembled WGS sequence
A0A371C805	unreviewed	A0A371C805_YARLL	Maintenance of mitochondrial morphology protein 1	MMM1 B0I71DRAFT_130964	479		MMM1	B0I71DRAFT_130964	UP000256601: Unassembled WGS sequence
A0A371C816	unreviewed	A0A371C816_YARLL	Ceramide very long chain fatty acid hydroxylase (EC 1.-.-.-)	B0I71DRAFT_31721	362			B0I71DRAFT_31721	UP000256601: Unassembled WGS sequence
A0A371C865	unreviewed	A0A371C865_YARLL	glucan endo-1,3-beta-D-glucosidase (EC 3.2.1.39) (Endo-1,3-beta-glucanase btgC) (Laminarinase btgC)	B0I71DRAFT_117471	716			B0I71DRAFT_117471	UP000256601: Unassembled WGS sequence
A0A371C8H3	unreviewed	A0A371C8H3_YARLL	DNA repair protein RAD50	B0I71DRAFT_146246	277			B0I71DRAFT_146246	UP000256601: Unassembled WGS sequence
A0A371C8W0	unreviewed	A0A371C8W0_YARLL	18S rRNA aminocarboxypropyltransferase (EC 2.5.1.157)	TSR3 B0I71DRAFT_130562	348		TSR3	B0I71DRAFT_130562	UP000256601: Unassembled WGS sequence
A0A371C916	unreviewed	A0A371C916_YARLL	Fatty acid synthase subunit alpha (EC 2.3.1.86) [Includes: 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41)]	B0I71DRAFT_130301	1850			B0I71DRAFT_130301	UP000256601: Unassembled WGS sequence
A0A371C921	unreviewed	A0A371C921_YARLL	tRNA (guanine-N(7)-)-methyltransferase (EC 2.1.1.33) (Transfer RNA methyltransferase 8) (tRNA (guanine(46)-N(7))-methyltransferase) (tRNA(m7G46)-methyltransferase)	TRM8 B0I71DRAFT_130307	292		TRM8	B0I71DRAFT_130307	UP000256601: Unassembled WGS sequence
A0A371C950	unreviewed	A0A371C950_YARLL	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase (EC 2.7.4.24)	B0I71DRAFT_130207	966			B0I71DRAFT_130207	UP000256601: Unassembled WGS sequence
A0A371C964	unreviewed	A0A371C964_YARLL	EKC/KEOPS complex subunit BUD32 (EC 2.7.11.1) (Atypical Serine/threonine protein kinase BUD32) (EKC/KEOPS complex subunit bud32)	B0I71DRAFT_130378	248			B0I71DRAFT_130378	UP000256601: Unassembled WGS sequence
A0A371C9H2	unreviewed	A0A371C9H2_YARLL	Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial (Glu-AdT subunit B) (EC 6.3.5.-)	PET112 B0I71DRAFT_129940	549		PET112	B0I71DRAFT_129940	UP000256601: Unassembled WGS sequence
A0A371C9L3	unreviewed	A0A371C9L3_YARLL	tRNA-dihydrouridine(47) synthase [NAD(P)(+)] (EC 1.3.1.89) (tRNA-dihydrouridine synthase 3)	B0I71DRAFT_129879	622			B0I71DRAFT_129879	UP000256601: Unassembled WGS sequence
A0A371C9L4	unreviewed	A0A371C9L4_YARLL	tRNA-dihydrouridine synthase (EC 1.3.1.-)	B0I71DRAFT_129880	334			B0I71DRAFT_129880	UP000256601: Unassembled WGS sequence
A0A371C9M5	unreviewed	A0A371C9M5_YARLL	DNA polymerase epsilon catalytic subunit (EC 2.7.7.7)	B0I71DRAFT_129897	2183			B0I71DRAFT_129897	UP000256601: Unassembled WGS sequence
A0A371C9U1	unreviewed	A0A371C9U1_YARLL	E3 ubiquitin-protein ligase (EC 2.3.2.27)	B0I71DRAFT_173757	1877			B0I71DRAFT_173757	UP000256601: Unassembled WGS sequence
A0A371CA28	unreviewed	A0A371CA28_YARLL	Ribosome biogenesis protein ERB1 (Eukaryotic ribosome biogenesis protein 1)	ERB1 B0I71DRAFT_129898	820		ERB1	B0I71DRAFT_129898	UP000256601: Unassembled WGS sequence
A0A371CA68	unreviewed	A0A371CA68_YARLL	DNA-(apurinic or apyrimidinic site) endonuclease 2	B0I71DRAFT_129646	582			B0I71DRAFT_129646	UP000256601: Unassembled WGS sequence
A0A371CA88	unreviewed	A0A371CA88_YARLL	non-specific serine/threonine protein kinase (EC 2.7.11.1)	B0I71DRAFT_157870	860			B0I71DRAFT_157870	UP000256601: Unassembled WGS sequence
A0A371CAD9	unreviewed	A0A371CAD9_YARLL	Serine/threonine-protein kinase RIO1 (EC 2.7.11.1)	B0I71DRAFT_95378	630			B0I71DRAFT_95378	UP000256601: Unassembled WGS sequence
A0A371CAJ9	unreviewed	A0A371CAJ9_YARLL	Serine hydroxymethyltransferase (EC 2.1.2.1)	B0I71DRAFT_129485	481			B0I71DRAFT_129485	UP000256601: Unassembled WGS sequence
A0A371CAN0	unreviewed	A0A371CAN0_YARLL	Folic acid synthesis protein fol1	B0I71DRAFT_22265	759			B0I71DRAFT_22265	UP000256601: Unassembled WGS sequence
A0A371CAN3	unreviewed	A0A371CAN3_YARLL	Phosphatidylinositol 4-kinase (EC 2.7.1.67)	B0I71DRAFT_129276	762			B0I71DRAFT_129276	UP000256601: Unassembled WGS sequence
A0A371CAP9	unreviewed	A0A371CAP9_YARLL	Mitochondrial distribution and morphology protein 12 (Mitochondrial inheritance component MDM12)	MDM12 B0I71DRAFT_129285	340		MDM12	B0I71DRAFT_129285	UP000256601: Unassembled WGS sequence
A0A371CAQ2	unreviewed	A0A371CAQ2_YARLL	Helicase SWR1 (EC 3.6.4.12) (Helicase swr1)	B0I71DRAFT_173445	1756			B0I71DRAFT_173445	UP000256601: Unassembled WGS sequence
A0A371CAR7	unreviewed	A0A371CAR7_YARLL	Calcium-transporting ATPase (EC 7.2.2.10)	B0I71DRAFT_129131	1254			B0I71DRAFT_129131	UP000256601: Unassembled WGS sequence
A0A371CAU9	unreviewed	A0A371CAU9_YARLL	NADPH--cytochrome P450 reductase (CPR) (P450R) (EC 1.6.2.4)	B0I71DRAFT_129175	722			B0I71DRAFT_129175	UP000256601: Unassembled WGS sequence
A0A371CAW3	unreviewed	A0A371CAW3_YARLL	Chromatin modification-related protein	B0I71DRAFT_129237	389			B0I71DRAFT_129237	UP000256601: Unassembled WGS sequence
A0A371CBG2	unreviewed	A0A371CBG2_YARLL	Lon protease homolog 2, peroxisomal (EC 3.4.21.-)	B0I71DRAFT_128703	952			B0I71DRAFT_128703	UP000256601: Unassembled WGS sequence
A0A371CBQ1	unreviewed	A0A371CBQ1_YARLL	Phospholipid-transporting ATPase (EC 7.6.2.1)	B0I71DRAFT_114645	1337			B0I71DRAFT_114645	UP000256601: Unassembled WGS sequence
A0A371CBU0	unreviewed	A0A371CBU0_YARLL	Calmodulin	B0I71DRAFT_128637	152			B0I71DRAFT_128637	UP000256601: Unassembled WGS sequence
A0A371CCR2	unreviewed	A0A371CCR2_YARLL	peptidylprolyl isomerase (EC 5.2.1.8)	B0I71DRAFT_172857	997			B0I71DRAFT_172857	UP000256601: Unassembled WGS sequence
A0A371CD50	unreviewed	A0A371CD50_YARLL	Golgi to ER traffic protein 1 (Guided entry of tail-anchored proteins 1)	GET1 B0I71DRAFT_3387	224		GET1	B0I71DRAFT_3387	UP000256601: Unassembled WGS sequence
A0A371CDN6	unreviewed	A0A371CDN6_YARLL	Endopolyphosphatase (EC 3.6.1.10)	B0I71DRAFT_113242	747			B0I71DRAFT_113242	UP000256601: Unassembled WGS sequence
A0A371CDP9	unreviewed	A0A371CDP9_YARLL	Ubiquinone biosynthesis O-methyltransferase, mitochondrial (3,4-dihydroxy-5-hexaprenylbenzoate methyltransferase) (3-demethylubiquinol 3-O-methyltransferase) (3-demethylubiquinone-6 3-O-methyltransferase) (Hexaprenyldihydroxybenzoate methyltransferase) (Polyprenyldihydroxybenzoate methyltransferase) (DHHB methyltransferase) (DHHB-MT) (DHHB-MTase) (EC 2.1.1.114, EC 2.1.1.64)	COQ3 B0I71DRAFT_127507	344		COQ3	B0I71DRAFT_127507	UP000256601: Unassembled WGS sequence
A0A371CE11	unreviewed	A0A371CE11_YARLL	Autophagy-related protein 9	B0I71DRAFT_127201	788			B0I71DRAFT_127201	UP000256601: Unassembled WGS sequence
A0A371CEI5	unreviewed	A0A371CEI5_YARLL	ferroxidase (EC 1.16.3.1)	B0I71DRAFT_126858	176			B0I71DRAFT_126858	UP000256601: Unassembled WGS sequence
A0A371CEL6	unreviewed	A0A371CEL6_YARLL	Chromatin modification-related protein	B0I71DRAFT_126895	283			B0I71DRAFT_126895	UP000256601: Unassembled WGS sequence
A0A371CEM1	unreviewed	A0A371CEM1_YARLL	Exonuclease 1 (EC 3.1.-.-)	B0I71DRAFT_126939	546			B0I71DRAFT_126939	UP000256601: Unassembled WGS sequence
A0A371CEQ0	unreviewed	A0A371CEQ0_YARLL	Nuclear protein localization protein 4	B0I71DRAFT_34554	563			B0I71DRAFT_34554	UP000256601: Unassembled WGS sequence
A0A371CET5	unreviewed	A0A371CET5_YARLL	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial (EC 1.3.5.1)	B0I71DRAFT_137787	709			B0I71DRAFT_137787	UP000256601: Unassembled WGS sequence
A0A371CEU2	unreviewed	A0A371CEU2_YARLL	Sulfite reductase [NADPH] subunit beta (EC 1.8.1.2)	B0I71DRAFT_126709	1404			B0I71DRAFT_126709	UP000256601: Unassembled WGS sequence
A0A371CEW1	unreviewed	A0A371CEW1_YARLL	Ubiquitin-like protein ATG12	B0I71DRAFT_30326	205			B0I71DRAFT_30326	UP000256601: Unassembled WGS sequence
A0A371CF10	unreviewed	A0A371CF10_YARLL	Aminopeptidase (EC 3.4.11.-)	B0I71DRAFT_127138	902			B0I71DRAFT_127138	UP000256601: Unassembled WGS sequence
A0A371CF39	unreviewed	A0A371CF39_YARLL	C-1-tetrahydrofolate synthase, cytoplasmic (EC 1.5.1.5) (EC 3.5.4.9) (EC 6.3.4.3)	B0I71DRAFT_126823	972			B0I71DRAFT_126823	UP000256601: Unassembled WGS sequence
A0A371CF48	unreviewed	A0A371CF48_YARLL	Catalase (EC 1.11.1.6)	B0I71DRAFT_156511	504			B0I71DRAFT_156511	UP000256601: Unassembled WGS sequence
A0A371CF63	unreviewed	A0A371CF63_YARLL	Kinesin-like protein	B0I71DRAFT_126571	929			B0I71DRAFT_126571	UP000256601: Unassembled WGS sequence
A0A371CF83	unreviewed	A0A371CF83_YARLL	Formate dehydrogenase (FDH) (EC 1.17.1.9) (NAD-dependent formate dehydrogenase)	B0I71DRAFT_156373	368			B0I71DRAFT_156373	UP000256601: Unassembled WGS sequence
A0A371CFN3	unreviewed	A0A371CFN3_YARLL	ATP-dependent DNA helicase II subunit 2 (EC 3.6.4.12)	B0I71DRAFT_144015	726			B0I71DRAFT_144015	UP000256601: Unassembled WGS sequence
A0A371CG33	unreviewed	A0A371CG33_YARLL	Signal recognition particle 54 kDa protein	B0I71DRAFT_126263	536			B0I71DRAFT_126263	UP000256601: Unassembled WGS sequence
A0A371CG40	unreviewed	A0A371CG40_YARLL	Endonuclease III homolog (EC 3.2.2.-) (EC 4.2.99.18) (Bifunctional DNA N-glycosylase/DNA-(apurinic or apyrimidinic site) lyase) (DNA glycosylase/AP lyase)	NTG1 B0I71DRAFT_682	483		NTG1	B0I71DRAFT_682	UP000256601: Unassembled WGS sequence
A0A371CG69	unreviewed	A0A371CG69_YARLL	Myosin-1	B0I71DRAFT_126443	1228			B0I71DRAFT_126443	UP000256601: Unassembled WGS sequence
B5FVB3	reviewed	ATP19_YARLI	ATP synthase subunit K, mitochondrial	ATP19 YALI0_B11913g	70	YALI0_B11913g	ATP19		UP000001300: Chromosome B
B5FVB8	reviewed	ATPN_YARLI	ATP synthase subunit g, mitochondrial (ATPase subunit g)	ATP20 YALI0_B21527g	138	YALI0_B21527g	ATP20		UP000001300: Chromosome B
B5FVH1	unreviewed	B5FVH1_YARLI	Phospholipid-transporting ATPase (EC 7.6.2.1)	YALI0_E04169g	1004			YALI0_E04169g	UP000001300: Chromosome E
B5FVH8	unreviewed	B5FVH8_YARLI	RNA-directed DNA polymerase (EC 2.7.7.49)	YALI0_E14388g2	1488			YALI0_E14388g2	UP000001300: Chromosome E
B5FVI0	reviewed	URM1_YARLI	Ubiquitin-related modifier 1	URM1 YALI0E19481g	99	YALI0E19481g	URM1		UP000001300: Chromosome E
B5RSL5	unreviewed	B5RSL5_YARLI	Transcription elongation factor SPT4	YALI0_F13354g	110			YALI0_F13354g	UP000001300: Chromosome F
B5RSM1	reviewed	SUS1_YARLI	Transcription and mRNA export factor SUS1	SUS1 YALI0F26136g	91	YALI0F26136g	SUS1		UP000001300: Chromosome F
C0HLB1	reviewed	ATP5E_YARLI	ATP synthase subunit epsilon, mitochondrial (ATPase subunit epsilon)	ATP15	10		ATP15		UP000001300: Chromosome E
C3W7W0	unreviewed	C3W7W0_YARLL	cAMP-dependent protein kinase (EC 2.7.11.11)	tpk1 B0I71DRAFT_129571 YALI1_C11271g	330		tpk1	B0I71DRAFT_129571 YALI1_C11271g	UP000182444: Chromosome 1c; UP000256601: Unassembled WGS sequence
F2Z5Z3	unreviewed	F2Z5Z3_YARLI	ADP/ATP translocase (ADP,ATP carrier protein)	YALI0_A10659g	302			YALI0_A10659g	UP000001300: Chromosome A
F2Z609	unreviewed	F2Z609_YARLL	RNA-directed DNA polymerase (EC 2.7.7.49)		2621				
F2Z617	unreviewed	F2Z617_YARLI	non-specific serine/threonine protein kinase (EC 2.7.11.1)	YALI0_C22770g	921			YALI0_C22770g	UP000001300: Chromosome C
F2Z640	unreviewed	F2Z640_YARLI	YALI0D26315p	YALI0_D26315g	1527			YALI0_D26315g	UP000001300: Chromosome D
F2Z650	unreviewed	F2Z650_YARLI	C-1-tetrahydrofolate synthase, cytoplasmic (EC 1.5.1.5) (EC 3.5.4.9) (EC 6.3.4.3)	YALI0_E01056g	937			YALI0_E01056g	UP000001300: Chromosome E
F2Z660	unreviewed	F2Z660_YARLI	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial (EC 7.1.1.2)	YALI0_B20372g	488			YALI0_B20372g	UP000001300: Chromosome B
F2Z672	unreviewed	F2Z672_YARLI	Phosphotransferase (EC 2.7.1.-)	YALI0_B22308g	534			YALI0_B22308g	UP000001300: Chromosome B
F2Z678	reviewed	ADH2_YARLI	Alcohol dehydrogenase 2 (EC 1.1.1.1)	ADH2 YALI0E17787g	351	YALI0E17787g	ADH2		UP000001300: Chromosome E
F2Z694	unreviewed	F2Z694_YARLI	ADP/ATP translocase (ADP,ATP carrier protein)	YALI0_D08228g	305			YALI0_D08228g	UP000001300: Chromosome D
F2Z695	unreviewed	F2Z695_YARLI	ADP/ATP translocase (ADP,ATP carrier protein)	YALI0_F19712g	312			YALI0_F19712g	UP000001300: Chromosome F
F2Z6B9	unreviewed	F2Z6B9_YARLI	RNA-directed DNA polymerase (EC 2.7.7.49)	YALI0_A10395g	2621			YALI0_A10395g	UP000001300: Chromosome A
F2Z6C9	unreviewed	F2Z6C9_YARLI	NADPH--cytochrome P450 reductase (CPR) (P450R) (EC 1.6.2.4)	YALI0_D04422g	722			YALI0_D04422g	UP000001300: Chromosome D
F2Z6I5	unreviewed	F2Z6I5_YARLI	Peroxisomal hydratase-dehydrogenase-epimerase (EC 1.1.1.n12) (EC 4.2.1.119) (Multifunctional beta-oxidation protein)	YALI0_E15378g	901			YALI0_E15378g	UP000001300: Chromosome E
F2Z6J4	unreviewed	F2Z6J4_YARLI	Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial (EC 1.14.13.-)	COQ6 YALI0_A09042g	465		COQ6	YALI0_A09042g	UP000001300: Chromosome A
O59949	reviewed	EF1A_YARLI	Elongation factor 1-alpha (EF-1-alpha)	TEF YALI0C09141g	460	YALI0C09141g	TEF		UP000001300: Chromosome C
O74934	reviewed	ACOX1_YARLI	Acyl-coenzyme A oxidase 1 (Acyl-CoA oxidase 1) (EC 1.3.3.6)	POX1 ACO1 YALI0E32835g	689	YALI0E32835g	POX1		UP000001300: Chromosome E
O74937	unreviewed	O74937_YARLL	Acyl-coenzyme A oxidase	ACO4 B0I71DRAFT_169278 YALI1_E32603g	701		ACO4	B0I71DRAFT_169278 YALI1_E32603g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
O74938	unreviewed	O74938_YARLL	Acyl-coenzyme A oxidase	ACO5 B0I71DRAFT_134356 YALI1_C32886g	699		ACO5	B0I71DRAFT_134356 YALI1_C32886g	UP000182444: Chromosome 1c; UP000256601: Unassembled WGS sequence
O74996	unreviewed	O74996_YARLL	Phosphotransferase (EC 2.7.1.-)	hxk1 B0I71DRAFT_131703	534		hxk1	B0I71DRAFT_131703	UP000256601: Unassembled WGS sequence
O93959	unreviewed	O93959_CANAX	Cytoskeleton assembly control protein Sla2p	sla2	1063		sla2		
P29407	reviewed	PGK_YARLI	Phosphoglycerate kinase (EC 2.7.2.3)	PGK1 YALI0D12400g	417	YALI0D12400g	PGK1		UP000001300: Chromosome D
P30614	reviewed	KPYK_YARLI	Pyruvate kinase (PK) (EC 2.7.1.40)	PYK1 YALI0F09185g	515	YALI0F09185g	PYK1		UP000001300: Chromosome F
P30887	reviewed	PHO2_YARLI	Acid phosphatase (EC 3.1.3.2)	PHO2 YALI0D03465g	358	YALI0D03465g	PHO2		UP000001300: Chromosome D
P36966	reviewed	PEX6_YARLI	Peroxisomal ATPase PEX6 (EC 3.6.4.-) (Peroxin-6) (Peroxisomal biogenesis factor 6) (Peroxisome biosynthesis protein PAY4)	PEX6 PAY4 YALI0C18689g	1024	YALI0C18689g	PEX6		UP000001300: Chromosome C
P38997	reviewed	LYS1_YARLI	Saccharopine dehydrogenase [NAD(+), L-lysine-forming] (SDH) (EC 1.5.1.7) (Lysine--2-oxoglutarate reductase)	LYS5 YALI0B15444g	369	YALI0B15444g	LYS5		UP000001300: Chromosome B
P41923	reviewed	PYRE_YARLI	Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)	URA5 YALI0F21527g	219	YALI0F21527g	URA5		UP000001300: Chromosome F
P41929	reviewed	LYC1_YARLI	Lysine acetyltransferase (LAT) (EC 2.3.1.306) (Lysine N(6)-acetyltransferase)	LYC1 YALI0E05533g	392	YALI0E05533g	LYC1		UP000001300: Chromosome E
P41943	reviewed	GPR1_YARLI	Glyoxylate pathway regulator	GPR1 YALI0C23617g	270	YALI0C23617g	GPR1		UP000001300: Chromosome C
P42781	reviewed	XPR6_YARLI	Dibasic-processing endoprotease (EC 3.4.21.-)	XPR6 YALI0F13189g	976	YALI0F13189g	XPR6		UP000001300: Chromosome F
P45815	reviewed	CRF1_YARLI	Copper resistance protein CRF1 (YlCRF1)	CRF1 YALI0B08206g	411	YALI0B08206g	CRF1		UP000001300: Chromosome B
P45816	reviewed	SEC14_YARLI	SEC14 cytosolic factor (Phosphatidylinositol/phosphatidylcholine transfer protein) (PI/PC TP)	SEC14 YALI0D04488g	492	YALI0D04488g	SEC14		UP000001300: Chromosome D
P45817	reviewed	PEX9_YARLI	Peroxisomal biogenesis factor 9 (Peroxin-9) (Peroxisomal protein PAY2)	PEX9 PAY2 YALI0F00748g	404	YALI0F00748g	PEX9		UP000001300: Chromosome F
P78978	reviewed	PACC_YARLI	pH-response transcription factor pacC/RIM101	RIM101 RPH2 YALI0B13640g	585	YALI0B13640g	RIM101		UP000001300: Chromosome B
P78979	reviewed	SC61A_YARLI	Protein transport protein SEC61 subunit alpha	SEC61 YALI0E21912g	471	YALI0E21912g	SEC61		UP000001300: Chromosome E
P79088	reviewed	SC61A_SCHPO	Protein transport protein sec61 subunit alpha	sec61 SPBC354.02c	479		sec61	SPBC354.02c	UP000002485: Chromosome II
Q12724	reviewed	PYRF_YARLI	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase) (Uridine 5'-monophosphate synthase) (UMP synthase)	URA3 YALI0E26741g	286	YALI0E26741g	URA3		UP000001300: Chromosome E
Q12725	reviewed	EXG_YARLI	Glucan 1,3-beta-glucosidase (EC 3.2.1.58) (Exo-1,3-beta-glucanase)	EXG1 YALI0F05390g	421	YALI0F05390g	EXG1		UP000001300: Chromosome F
Q12726	reviewed	HOSM_YARLI	Homocitrate synthase, mitochondrial (HCS) (EC 2.3.3.14)	LYS1 YALI0F31075g	446	YALI0F31075g	LYS1		UP000001300: Chromosome F
Q3V7I4	reviewed	THI4_YARLI	Thiamine thiazole synthase (EC 2.4.2.60) (Thiazole biosynthetic enzyme)	THI4 YALI0A09768g	317	YALI0A09768g	THI4		UP000001300: Chromosome A
Q5F1U5	unreviewed	Q5F1U5_YARLL	Pyruvate carboxylase (EC 6.4.1.1)	PYC1 B0I71DRAFT_134369 YALI1_C33152g	1191		PYC1	B0I71DRAFT_134369 YALI1_C33152g	UP000182444: Chromosome 1c; UP000256601: Unassembled WGS sequence
Q6BZP6	unreviewed	Q6BZP6_YARLI	DNA 3'-5' helicase (EC 5.6.2.4)	YALI0_F31977g	1300			YALI0_F31977g	UP000001300: Chromosome F
Q6BZQ6	reviewed	BOS1_YARLI	Protein transport protein BOS1	BOS1 YALI0F31669g	226	YALI0F31669g	BOS1		UP000001300: Chromosome F
Q6BZQ9	reviewed	NM111_YARLI	Pro-apoptotic serine protease NMA111 (EC 3.4.21.-)	NMA111 YALI0F31603g	984	YALI0F31603g	NMA111		UP000001300: Chromosome F
Q6BZR4	reviewed	DBP9_YARLI	ATP-dependent RNA helicase DBP9 (EC 3.6.4.13)	DBP9 YALI0F31493g	544	YALI0F31493g	DBP9		UP000001300: Chromosome F
