YALI0 locus ID,YALI1 Proteins
YALI0B19162g,YALI1_B25107p
YALI0B19184g,YALI1_B25136p
YALI0B19206g,YALI1_B25187p
YALI0B19228g,YALI1_B25223p
YALI0B19250g,YALI1_B25258p
YALI0B19272r,YALI1_B25290r
YALI0B19316g,YALI1_B25313p
,YALI1_B25319p
,YALI1_B25322p
,YALI1_B25334p
YALI0B19338g,YALI1_B25360p
,YALI1_B25387p
YALI0B19360g,YALI1_B25395p
YALI0B19382g,YALI1_B25427p
YALI0B19404r,YALI1_B25479r
YALI0B19448g,YALI1_B25484p
,YALI1_B25495p
YALI0B19470g,YALI1_B25506p
YALI0B19492g,YALI1_B25553p
YALI0B19514r,YALI1_B25580r
YALI0B19558g,YALI1_B25593p
YALI0B19580g,YALI1_B25603p
YALI0B19602g,YALI1_B25676p
YALI0B19624g,YALI1_B25734p
YALI0B19646g,YALI1_B25744p
YALI0B19668g,YALI1_B25762p
YALI0B19712g,YALI1_B25795p
YALI0B19734g,YALI1_B25798p
YALI0B19756g,YALI1_B25833p
YALI0B19778g,YALI1_B25868p
YALI0B19800g,YALI1_B25906p
YALI0B19844g,YALI1_B25952p
YALI0B19866g,YALI1_B25963p
YALI0B19888g,YALI1_B25988p
YALI0B19910g,YALI1_B25997p
YALI0B19932r,YALI1_B26017r
YALI0B19976g,YALI1_B26033p
YALI0B19987r,YALI1_B26045r
YALI0B19998g,YALI1_B26112p
YALI0B20020g,YALI1_B26153p
YALI0B20042g,YALI1_B26175p
YALI0B20064g,YALI1_B26205p
YALI0B20086g,YALI1_B26235p
YALI0B20108g,YALI1_B26271p
YALI0B20130r,YALI1_B26307r
,YALI1_B26308r
YALI0B20174g,YALI1_B26322p
YALI0B20196g,YALI1_B26350p
,YALI1_B26377p
YALI0B20218g,YALI1_B26430p
YALI0B20240g,YALI1_B26451p
YALI0B20262g,YALI1_B26517p
YALI0B20284g,YALI1_B26550p
YALI0B20306g,YALI1_B26596p
YALI0B20328g,YALI1_B26639p
YALI0B20350g,YALI1_B26659p
YALI0B20372g,YALI1_B26679p
YALI0B20394g,YALI1_B26715p
YALI0B20416g,YALI1_B26728p
YALI0B20438g,YALI1_B26749p
YALI0B20460g,YALI1_B26763p
YALI0B20482g,YALI1_B26790p
YALI0B20504g,YALI1_B26808p
YALI0B20515r,YALI1_B26831r
YALI0B20526g,YALI1_B26845p
YALI0B20548g,YALI1_B26874p
,YALI1_B26888p
YALI0B20570g,YALI1_B26926p
YALI0B20592g,YALI1_B26962p
YALI0B20614g,YALI1_B26963p
YALI0B20636g,YALI1_B26984p
YALI0B20658g,YALI1_B27009p
YALI0B20680g,YALI1_B27015p
YALI0B20702g,YALI1_B27057p
YALI0B20724g,YALI1_B27102p
YALI0B20746g,YALI1_B27110p
YALI0B20746g,YALI1_B27123p
YALI0B20768g,YALI1_B27144p
YALI0B20790g,YALI1_B27150p
YALI0B20812g,YALI1_B27179p
YALI0B20834g,YALI1_B27211p
YALI0B20856g,YALI1_B27254p
YALI0B20878g,YALI1_B27280p
YALI0B20900g,YALI1_B27293p
YALI0B20911g,YALI1_B27307p
YALI0B20922g,YALI1_B27320p
YALI0B20936r,YALI1_B27339r
YALI0B20944g,YALI1_B27360p
YALI0B20966g,YALI1_B27399p
YALI0B20988g,YALI1_B27404p
YALI0B21010g,YALI1_B27429p
YALI0B21032g,YALI1_B27454p
YALI0B21054g,YALI1_B27460p
YALI0B21076g,YALI1_B27485p
YALI0B21098g,YALI1_B27500p
YALI0B21120g,YALI1_B27534p
YALI0B21142g,YALI1_B27564p
YALI0B21164g,YALI1_B27570p
YALI0B21186g,YALI1_B27588p
,YALI1_B27615p
YALI0B21208g,YALI1_B27637p
YALI0B21230g,YALI1_B27645p
YALI0B21252g,YALI1_B27662p
YALI0B21274g,YALI1_B27685p
YALI0B21296g,YALI1_B27689p
YALI0B21318g,YALI1_B27723p
YALI0B21340g,YALI1_B27777p
YALI0B21362g,YALI1_B27805p
YALI0B21384g,YALI1_B27837p
YALI0B21406g,YALI1_B27857p
YALI0B21428g,YALI1_B27874p
YALI0B21450g,YALI1_B27929p
YALI0B21472g,YALI1_B27968p
YALI0B21494g,YALI1_B27984p
YALI0B21516g,YALI1_B28017p
YALI0B21527g,YALI1_B28025p
YALI0B21538g,YALI1_B28053p
,YALI1_B28084p
YALI0B21560g,YALI1_B28098p
,YALI1_B28119p
YALI0B21582g,YALI1_B28150p
YALI0B21604g,YALI1_B28215p
YALI0B21626g,YALI1_B28268p
YALI0B21648r,YALI1_B28283r
YALI0B21662g,YALI1_B28292p
YALI0B21670g,YALI1_B28349p
YALI0B21692g,YALI1_B28357p
YALI0B21714g,YALI1_B28374p
YALI0B21725r,YALI1_B28380r
YALI0B21736r,YALI1_B28381r
YALI0B21780g,YALI1_B28394p
YALI0B21802r,YALI1_B28411r
YALI0B21824g,YALI1_B28430p
YALI0B21846g,YALI1_B28454p
YALI0B21868g,YALI1_B28472p
YALI0B21890g,YALI1_B28499p
YALI0B21912g,YALI1_B28511p
YALI0B21925g,YALI1_B28544p
YALI0B21978g,YALI1_B28572p
YALI0B22000g,YALI1_B28584p
YALI0B22022r,YALI1_B28591r
YALI0B22044r,YALI1_B28609r
YALI0B22066g,YALI1_B28659p
YALI0B22088g,YALI1_B28735p
YALI0B22110g,YALI1_B28744p
,YALI1_B28766p
YALI0B22125g,YALI1_B28781p
YALI0B22132g,YALI1_B28789p
YALI0B22154g,YALI1_B28830p
,YALI1_B28895p
YALI0B22176g,YALI1_B28933p
,YALI1_B28990p
YALI0B22198g,YALI1_B29008p
YALI0B22220g,YALI1_B29037p
YALI0B22242g,YALI1_B29051p
YALI0B22264g,YALI1_B29080p
YALI0B22286g,YALI1_B29108p
YALI0B22308g,YALI1_B29133p
YALI0B22330g,YALI1_B29153p
YALI0B22352r,YALI1_B29170r
YALI0B22374g,YALI1_B29191p
YALI0B22396g,YALI1_B29202p
YALI0B22418g,YALI1_B29227p
YALI0B22440g,YALI1_B29243p
YALI0B22462g,YALI1_B29266p
YALI0B22484g,YALI1_B29310p
,YALI1_B29360p
,YALI1_B29364p
YALI0B22506g,YALI1_B29419p
,YALI1_B29436p
YALI0B22528g,YALI1_B29446p
YALI0B22550g,YALI1_B29483p
YALI0B22572g,YALI1_B29505p
YALI0B22594g,YALI1_B29507p
YALI0B22616g,YALI1_B29528p
YALI0B22638g,YALI1_B29539p
YALI0B22660g,YALI1_B29548p
YALI0B22682g,YALI1_B29562p
YALI0B22704g,YALI1_B29637p
YALI0B22726g,YALI1_B29662p
YALI0B22748g,YALI1_B29711p
YALI0B22770g,YALI1_B29718p
YALI0B22792g,YALI1_B29742p
YALI0B22814g,YALI1_B29753p
YALI0B22836g,YALI1_B29779p
YALI0B22858g,YALI1_B29785p
YALI0B22880g,YALI1_B29844p
YALI0B22902g,YALI1_B29867p
YALI0B22924g,YALI1_B29883p
YALI0B22946g,YALI1_B29895p
YALI0B22968g,YALI1_B29905p
YALI0B22990g,YALI1_B29915p
YALI0B23012g,YALI1_B29941p
YALI0B23034g,YALI1_B29972p
YALI0B23056g,YALI1_B29977p
YALI0B23078g,YALI1_B29995p
YALI0B23100g,YALI1_B30024p
YALI0B23111g,YALI1_B30036p
YALI0B23122g,YALI1_B30039p
YALI0B23144g,YALI1_B30066p
YALI0B23188g,YALI1_B30090p
YALI0B23210g,YALI1_B30123p
YALI0B23232g,YALI1_B30146p
YALI0B23254g,YALI1_B30162p
YALI0B23276g,YALI1_B30163p
YALI0B23298g,YALI1_B30181p
YALI0B23320g,YALI1_B30182p
YALI0B23342g,YALI1_B30214p
YALI0B23364g,YALI1_B30218p
YALI0B23386g,YALI1_B30234p
YALI0B23408g,YALI1_B30258p
YALI0B23430g,YALI1_B30275p
YALI0B23452g,YALI1_B30293p
,YALI1_B30303p
,YALI1_B30333p
YALI0B23474g,YALI1_B30337p
YALI0B23485r,YALI1_B30365r
YALI0B23496g,YALI1_B30382p
,YALI1_C00083r
,YALI1_C00098p
,YALI1_C00107p
YALI0C00110g,YALI1_C00116p
YALI0C00132g,YALI1_C00141p
YALI0C00165g,YALI1_C00164p
,YALI1_C00167p
,YALI1_C00177p
YALI0C00187g,YALI1_C00209p
YALI0C00209g,YALI1_C00230p
YALI0C00231g,YALI1_C00258p
YALI0C00253g,YALI1_C00293p
YALI0C00275g,YALI1_C00331p
YALI0C00297g,YALI1_C00335p
YALI0C00319g,YALI1_C353p
YALI0C00341g,YALI1_C00368p
YALI0C00363g,YALI1_C00422p
YALI0C00385g,YALI1_C00442p
YALI0C00407g,YALI1_C00464p
YALI0C00429g,YALI1_C00503p
YALI0C00451g,YALI1_C00550p
YALI0C00473g,YALI1_C00615p
YALI0C00495g,YALI1_C00694p
,YALI1_C00710p
YALI0C00517r,YALI1_C00732r
YALI0C00539g,YALI1_C00739p
YALI0C00550g,YALI1_C00766p
YALI0C00561g,YALI1_C00772p
YALI0C00583g,YALI1_C00784p
YALI0C00605g,YALI1_C00802p
YALI0C00627g,YALI1_C00826p
,YALI1_C00827p
YALI0C00649g,YALI1_C00841p
,YALI1_C00852p
,YALI1_C00874p
YALI0C00671g,YALI1_C00913p
YALI0C00693g,YALI1_C00958p
YALI0C00715g,YALI1_C00962p
YALI0C00759g,YALI1_C00999p
YALI0C00781g,YALI1_C01043p
YALI0C00803g,YALI1_C01072p
YALI0C00825g,YALI1_C01106p
YALI0C00847g,YALI1_C01129p
YALI0C00869g,YALI1_C01161p
YALI0C00891g,YALI1_C01244p
,YALI1_C01262p
YALI0C00913g,YALI1_C01297p
,YALI1_C01301t
YALI0C00957g,YALI1_C01338p
YALI0C00979g,YALI1_C01356p
YALI0C01001g,YALI1_C01393p
YALI0C01023g,YALI1_C01416p
YALI0C01045g,YALI1_C01433p
YALI0C01067g,YALI1_C01491p
YALI0C01089g,YALI1_C01505p
YALI0C01111g,YALI1_C01520p
YALI0C01133g,YALI1_C01535p
YALI0C01155g,YALI1_C01576p
,YALI1_C01590p
YALI0C01177g,YALI1_C01596p
YALI0C01199g,YALI1_C01675p
,YALI1_C01694p
YALI0C01221g,YALI1_C01720p
YALI0C01243g,YALI1_C01789p
YALI0C01287g,YALI1_C01800p
YALI0C01309g,YALI1_C01810p
YALI0C01331g,YALI1_C01826p
,YALI1_C01843p
YALI0C01375g,YALI1_C01847p
YALI0C01397g,YALI1_C01876p
YALI0C01411g,YALI1_C01944p
YALI0C01419g,YALI1_C01965p
YALI0C01441g,YALI1_C01993p
,YALI1_C02044p
YALI0C01463g,YALI1_C02053p
YALI0C01485g,YALI1_C02086p
YALI0C01507g,YALI1_C02117p
YALI0C01529r,YALI1_C02125r
YALI0C01573g,YALI1_C02152p
,YALI1_C02160p
YALI0C01595g,YALI1_C02188p
YALI0C01617g,YALI1_C02215p
YALI0C01639g,YALI1_C02248p
YALI0C01672r,YALI1_C02285r
,YALI1_C02291p
YALI0C01694g,YALI1_C02332p
,YALI1_C02374p
YALI0C01716g,YALI1_C02391p
YALI0C01738g,YALI1_C02402p
,YALI1_C02421p
,YALI1_C02424p
YALI0C01760g,YALI1_C02441p
YALI0C01782g,YALI1_C02487p
YALI0C01804r,YALI1_C02507r
YALI0C01815r,YALI1_C02508r
YALI0C01826g,YALI1_C02521p
YALI0C01859g,YALI1_C02550p
YALI0C01881r,YALI1_C02570r
YALI0C01903g,YALI1_C02588p
YALI0C01925g,YALI1_C02611p
YALI0C01947g,YALI1_C02624p
YALI0C01969g,YALI1_C02639p
YALI0C01991g,YALI1_C02686p
YALI0C02013r,YALI1_C02696r
YALI0C02035r,YALI1_C02704r
YALI0C02057g,YALI1_C02831p
YALI0C02079r,YALI1_C02849r
,YALI1_C02856r
YALI0C02123r,YALI1_C02857r
YALI0C02167g,YALI1_C02866p
,YALI1_C02873p
YALI0C02189r,YALI1_C02882r
YALI0C02211g,YALI1_C02904p
YALI0C02233g,YALI1_C03036p
,YALI1_C03197p
,YALI1_C03201p
,YALI1_C03213p
YALI0C02255g,YALI1_C03221p
YALI0C02277r,YALI1_C03226r
YALI0C02321g,YALI1_C03246p
,YALI1_C03261p
YALI0C02343g,YALI1_C03272p
,YALI1_C03286p
YALI0C02365g,YALI1_C03335p
YALI0C02387g,YALI1_C03349p
,YALI1_C03360p
,YALI1_C03374p
YALI0C02409g,YALI1_C03378p
YALI0C02431g,YALI1_C03415p
YALI0C02453g,YALI1_C03461p
YALI0C02475g,YALI1_C03495p
YALI0C02497g,YALI1_C03513p
YALI0C02519g,YALI1_C03534p
YALI0C02541g,YALI1_C03550p
YALI0C02563g,YALI1_C03582p
YALI0C02585g,YALI1_C03596p
YALI0C02607g,YALI1_C03615p
YALI0C02629g,YALI1_C03674p
,YALI1_C03696p
YALI0C02651g,YALI1_C03735p
YALI0C02673r,YALI1_C03752r
YALI0C02717g,YALI1_C03774p
,YALI1_C03821p
YALI0C02739r,YALI1_C03829r
YALI0C02761g,YALI1_C03842p
YALI0C02783g,YALI1_C03848p
YALI0C02805g,YALI1_C03874p
YALI0C02827g,YALI1_C03887p
YALI0C02849g,YALI1_C03914p
YALI0C02871g,YALI1_C03933p
YALI0C02893g,YALI1_C03939p
YALI0C02915g,YALI1_C03948p
YALI0C02937g,YALI1_C03969p
YALI0C02959g,YALI1_C03988p
YALI0C02981g,YALI1_C04031p
,YALI1_C04041p
YALI0C03003g,YALI1_C04067p
YALI0C03025g,YALI1_C04093p
YALI0C03047g,YALI1_C04117p
,YALI1_C04126p
YALI0C03069g,YALI1_C04143p
YALI0C03091g,YALI1_C04162p
YALI0C03113r,YALI1_C04172r
YALI0C03124r,YALI1_C04173r
YALI0C03135g,YALI1_C04201p
YALI0C03157r,YALI1_C04241r
YALI0C03179g,YALI1_C04265p
YALI0C03201g,YALI1_C04281p
YALI0C03223g,YALI1_C04302p
YALI0C03245g,YALI1_C04328p
YALI0C03267g,YALI1_C04351p
YALI0C03289r,YALI1_C04363r
YALI0C03333g,YALI1_C04389p
YALI0C03355g,YALI1_C04401p
YALI0C03377g,YALI1_C04436p
YALI0C03391r,YALI1_C04456r
YALI0C03399g,YALI1_C04490p
YALI0C03421g,YALI1_C04531p
,YALI1_C04532p
YALI0C03443g,YALI1_C04553p
YALI0C03465g,YALI1_C04570p
,YALI1_C04577t
YALI0C03498g,YALI1_C04599t
YALI0C03520g,YALI1_C04672p
YALI0C03542g,YALI1_C04690p
YALI0C03564g,YALI1_C04720p
YALI0C03586g,YALI1_C04771p
,YALI1_C04778p
YALI0C03608g,YALI1_C04798p
YALI0C03630g,YALI1_C04818p
YALI0C03652g,YALI1_C04853p
,YALI1_C04868p
YALI0C03674g,YALI1_C04882p
YALI0C03696g,YALI1_C04925p
,YALI1_C04938p
YALI0C03718g,YALI1_C04962p
YALI0C03740r,YALI1_C04977r
YALI0C03762g,YALI1_C04991p
YALI0C03784g,YALI1_C04996p
YALI0C03806g,YALI1_C05022p
YALI0C03828g,YALI1_C05088p
YALI0C03850g,YALI1_C05125p
YALI0C03872g,YALI1_C05133p
YALI0C03894g,YALI1_C05178p
YALI0C03916g,YALI1_C05204p
YALI0C03938r,YALI1_C05242r
YALI0C03982g,YALI1_C05252p
YALI0C04004g,YALI1_C05264p
YALI0C04026g,YALI1_C05296p
,YALI1_C05323p
YALI0C04048g,YALI1_C05347p
YALI0C04070g,YALI1_C05372p
YALI0C04092g,YALI1_C05386p
YALI0C04114g,YALI1_C05423p
YALI0C04136g,YALI1_C05494p
,YALI1_C05507p
YALI0C04158g,YALI1_C05554p
,YALI1_C05562p
YALI0C04180g,YALI1_C05570p
YALI0C04213g,YALI1_C05636p
YALI0C04235g,YALI1_C05649p
YALI0C04257g,YALI1_C05710p
YALI0C04279g,YALI1_C05734p
,YALI1_C05756p
YALI0C04301g,YALI1_C05757p
YALI0C04323g,YALI1_C05789p
YALI0C04345g,YALI1_C05813p
YALI0C04367g,YALI1_C05820p
,YALI1_C05837p
YALI0C04389g,YALI1_C05857p
YALI0C04411g,YALI1_C05880p
YALI0C04433g,YALI1_C05908p
YALI0C04455g,YALI1_C05931p
YALI0C04477g,YALI1_C05972p
YALI0C04499g,YALI1_C06006p
,YALI1_C06023p
YALI0C04521g,YALI1_C06032p
YALI0C04543g,YALI1_C06041p
YALI0C04565g,YALI1_C06071p
YALI0C04587g,YALI1_C06106p
,YALI1_C06118p
YALI0C04620g,YALI1_C06137p
YALI0C04642r,YALI1_C06179r
YALI0C04686g,YALI1_C06191p
YALI0C04686g,YALI1_C06201p
,YALI1_C06211p
YALI0C04730g,YALI1_C06222p
YALI0C04752r,YALI1_C06243r
YALI0C04763r,YALI1_C06244r
YALI0C04774g,YALI1_C06259p
YALI0C04796g,YALI1_C06298p
,YALI1_C06301p
YALI0C04818g,YALI1_C06328p
YALI0C04840r,YALI1_C06342r
YALI0C04884g,YALI1_C06368p
,YALI1_C06384r
YALI0C04906g,YALI1_C06394p
YALI0C04928g,YALI1_C06414p
YALI0C04950r,YALI1_C06425r
YALI0C04994r,YALI1_C06435r
YALI0C05038g,YALI1_C06459p
YALI0C05060g,YALI1_C06486p
YALI0C05082g,YALI1_C06511p
YALI0C05104g,YALI1_C06532p
YALI0C05126g,YALI1_C06548p
YALI0C05148g,YALI1_C06597p
YALI0C05170g,YALI1_C06626p
YALI0C05192r,YALI1_C06644r
,YALI1_C06645r
YALI0C05236g,YALI1_C06655p
YALI0C05258g,YALI1_C06681p
YALI0C05280g,YALI1_C06695p
YALI0C05302g,YALI1_C06716p
,YALI1_C06724p
YALI0C05313r,YALI1_C06735r
,YALI1_C06753p
YALI0C05324g,YALI1_C06770p
YALI0C05346g,YALI1_C06870p
YALI0C05368g,YALI1_C06917p
YALI0C05423r,YALI1_C06944r
YALI0C05390g,YALI1_C06929p
YALI0C05467g,YALI1_C06951p
YALI0C05489g,YALI1_C06973p
YALI0C05500g,YALI1_C06994p
YALI0C05511g,YALI1_C07028p
,YALI1_C07063p
YALI0C05533g,YALI1_C07077p
,YALI1_C07081p
YALI0C05544r,YALI1_C07087r
YALI0C05555g,YALI1_C07109p
YALI0C05577g,YALI1_C07117p
YALI0C05599g,YALI1_C07137p
,YALI1_C07152p
YALI0C05621g,YALI1_C07170p
YALI0C05643g,YALI1_C07199p
,YALI1_C07216p
,YALI1_C07223p
YALI0C05665g,YALI1_C07239p
YALI0C05687g,YALI1_C07288p
YALI0C05709g,YALI1_C07360p
YALI0C05731g,YALI1_C07397p
YALI0C05753g,YALI1_C07423p
YALI0C05775g,YALI1_C07451p
YALI0C05797g,YALI1_C07481p
YALI0C05819g,YALI1_C07495p
,YALI1_C07516p
YALI0C05841g,YALI1_C07519p
YALI0C05863g,YALI1_C07534p
YALI0C05885g,YALI1_C07562p
YALI0C05907g,YALI1_C07592p
YALI0C05929g,YALI1_C07613p
,YALI1_C07614p
YALI0C05951g,YALI1_C07638p
,YALI1_C07664p
YALI0C05973g,YALI1_C07670p
,YALI1_C07691p
YALI0C05995g,YALI1_C07721p
YALI0C06017g,YALI1_C07758p
YALI0C06039g,YALI1_C07770p
YALI0C06061g,YALI1_C07780p
YALI0C06083g,YALI1_C07816p
,YALI1_C07840p
,YALI1_C07872p
YALI0C06105g,YALI1_C07894p
YALI0C06127g,YALI1_C07948p
YALI0C06149g,YALI1_C07979p
YALI0C06171g,YALI1_C08017p
YALI0C06193g,YALI1_C08040p
YALI0C06215g,YALI1_C08065p
YALI0C06237g,YALI1_C08106p
YALI0C06259g,YALI1_C08151p
YALI0C06281g,YALI1_C08173p
YALI0C06303g,YALI1_C08197p
YALI0C06325g,YALI1_C08218p
YALI0C06347g,YALI1_C08242p
,YALI1_C08245p
YALI0C06369g,YALI1_C08262p
,YALI1_C08275p
YALI0C06391g,YALI1_C08298p
YALI0C06424g,YALI1_C08523p
YALI0C06446g,YALI1_C08548p
YALI0C06460g,YALI1_C08600p
YALI0C06468r,YALI1_C08688r
YALI0C06490g,YALI1_C08702p
YALI0C06512g,YALI1_C08748p
YALI0C06556g,YALI1_C08791p
YALI0C06578g,YALI1_C08834p
YALI0C06600g,YALI1_C08882p
YALI0C06622g,YALI1_C08893p
YALI0C06644g,YALI1_C08922p
,YALI1_C08923p
YALI0C06666r,YALI1_C08938r
YALI0C06688r,YALI1_C08942r
YALI0C06710g,YALI1_C08952p
YALI0C06732g,YALI1_C08983p
YALI0C06754g,YALI1_C09009p
YALI0C06776g,YALI1_C09033p
YALI0C06798g,YALI1_C09072p
YALI0C06820g,YALI1_C09094p
YALI0C06842g,YALI1_C09133p
,YALI1_C09137p
YALI0C06853g,YALI1_C09150p
,YALI1_C09181p
,YALI1_C09195p
YALI0C06864g,YALI1_C09200p
YALI0C06886g,YALI1_C09230p
YALI0C06908g,YALI1_C09260p
YALI0C06930g,YALI1_C09285p
YALI0C06952g,YALI1_C09308p
YALI0C06974g,YALI1_C09343p
YALI0C06996g,YALI1_C09380p
YALI0C07018g,YALI1_C09390p
YALI0C07040g,YALI1_C09415p
YALI0C07062g,YALI1_C09451p
YALI0C07084r,YALI1_C09462r
YALI0C07128g,YALI1_C09467p
YALI0C07150g,YALI1_C09489p
YALI0C07172g,YALI1_C09552p
YALI0C07194g,YALI1_C09606p
YALI0C07216r,YALI1_C09626r
YALI0C07227r,YALI1_C09627r
YALI0C07238g,YALI1_C09639p
YALI0C07260g,YALI1_C09642p
YALI0C07282g,YALI1_C09667p
YALI0C07304g,YALI1_C09696p
YALI0C07326g,YALI1_C09718p
YALI0C07348g,YALI1_C09750p
YALI0C07370r,YALI1_C09756r
YALI0C07414g,YALI1_C09773p
,YALI1_C09781t
,YALI1_C09803t
YALI0C07436g,YALI1_C09851p
,YALI1_C09878p
,YALI1_C09885p
YALI0C07502g,YALI1_C09923p
YALI0C07524g,YALI1_C09950p
YALI0C07546g,YALI1_C09977p
YALI0C07568g,YALI1_C10016p
YALI0C07590g,YALI1_C10041p
,YALI1_C10086p
YALI0C07612g,YALI1_C10121p
,YALI1_C10133p
YALI0C07634g,YALI1_C10173p
YALI0C07656g,YALI1_C10203p
YALI0C07678g,YALI1_C10232p
YALI0C07700g,YALI1_C10271p
YALI0C07722g,YALI1_C10293p
YALI0C07744g,YALI1_C10318p
YALI0C07777g,YALI1_C10345p
,YALI1_C10382p
YALI0C07821g,YALI1_C10385p
YALI0C07843g,YALI1_C10463p
YALI0C07865g,YALI1_C10480p
YALI0C07887g,YALI1_C10492p
YALI0C07909g,YALI1_C10497p
YALI0C07931g,YALI1_C10534p
YALI0C07953g,YALI1_C10555p
,YALI1_C10591t
,YALI1_C10612t
YALI0C07975g,YALI1_C10675p
YALI0C08030g,YALI1_C10718p
YALI0C08052g,YALI1_C10730p
YALI0C08074g,YALI1_C10762p
YALI0C08096g,YALI1_C10787p
YALI0C08096g,YALI1_C10806p
YALI0C08118g,YALI1_C10860p
YALI0C08140g,YALI1_C10990p
,YALI1_C11057p
YALI0C08184g,YALI1_C11077p
YALI0C08206g,YALI1_C11096p
YALI0C08220g,YALI1_C11100p
YALI0C08228g,YALI1_C11131p
YALI0C08250g,YALI1_C11203p
YALI0C08283g,YALI1_C11234p
,YALI1_C11241p
YALI0C08305g,YALI1_C11271p
,YALI1_C11352p
,YALI1_C11365p
,YALI1_C11382p
YALI0C08349g,YALI1_C11441p
YALI0C08371g,YALI1_C11501p
YALI0C08393g,YALI1_C11521p
YALI0C08415g,YALI1_C11552p
YALI0C08437g,YALI1_C11581p
YALI0C08459g,YALI1_C11589p
YALI0C08473g,YALI1_C11694p
,YALI1_C11707p
YALI0C08481g,YALI1_C11715p
YALI0C08503r,YALI1_C11733r
YALI0C08547g,YALI1_C11744p
YALI0C08569g,YALI1_C11773p
YALI0C08591g,YALI1_C11819p
YALI0C08613g,YALI1_C11836p
,YALI1_C11843p
YALI0C08635g,YALI1_C11862p
YALI0C08657g,YALI1_C11883p
YALI0C08679g,YALI1_C11902p
YALI0C08701g,YALI1_C11925p
YALI0C08723g,YALI1_C11930p
YALI0C08745g,YALI1_C11954p
YALI0C08767g,YALI1_C11970p
YALI0C08782g,YALI1_C12007p
YALI0C08811g,YALI1_C12024p
YALI0C08833g,YALI1_C12038p
,YALI1_C12044t
,YALI1_C12066t
YALI0C08855g,YALI1_C12121p
YALI0C08877g,YALI1_C12140p
YALI0C08899g,YALI1_C12170p
YALI0C08921g,YALI1_C12194p
YALI0C08943g,YALI1_C12220p
YALI0C08960g,YALI1_C12282p
YALI0C08965g,YALI1_C12317p
YALI0C08987g,YALI1_C12333p
YALI0C08998r,YALI1_C12370r
YALI0C09009g,YALI1_C12406p
,YALI1_C12433p
,YALI1_C12441p
,YALI1_C12474p
YALI0C09031g,YALI1_C12513p
YALI0C09053r,YALI1_C12548r
YALI0C09064r,YALI1_C12549r
YALI0C09075r,YALI1_C12559r
,YALI1_C12570t
YALI0C09119g,YALI1_C12619p
YALI0C09141g,YALI1_C12642p
,YALI1_C12682p
,YALI1_C12686p
YALI0C09163g,YALI1_C12695p
YALI0C09185g,YALI1_C12725p
,YALI1_C12755p
YALI0C09218g,YALI1_C12788p
,YALI1_C12834p
YALI0C09232g,YALI1_C12845p
YALI0C09240g,YALI1_C12883p
YALI0C09262g,YALI1_C12900p
YALI0C09284g,YALI1_C12941p
YALI0C09299g,YALI1_C12970p
YALI0C09328g,YALI1_C13000p
YALI0C09350g,YALI1_C13007p
YALI0C09372g,YALI1_C13026p
YALI0C09394g,YALI1_C13038p
YALI0C09405r,YALI1_C13071r
YALI0C09416r,YALI1_C13072r
YALI0C09438g,YALI1_C13093p
YALI0C09460g,YALI1_C13106p
,YALI1_C13142p
YALI0C09482g,YALI1_C13162p
YALI0C09504g,YALI1_C13186p
YALI0C09526g,YALI1_C13227p
YALI0C09548g,YALI1_C13241p
YALI0C09570g,YALI1_C13261p
YALI0C09592g,YALI1_C13284p
YALI0C09614g,YALI1_C13302p
YALI0C09636g,YALI1_C13355p
,YALI1_C13389p
,YALI1_C13397p
YALI0C09658g,YALI1_C13410p
YALI0C09680g,YALI1_C13453p
,YALI1_C13500p
YALI0C09702g,YALI1_C13506p
,YALI1_C13510p
YALI0C09735g,YALI1_C13522p
YALI0C09757g,YALI1_C13560p
,YALI1_C13565p
,YALI1_C13578p
,YALI1_C13611p
YALI0C09779g,YALI1_C13642p
YALI0C09801g,YALI1_C13652p
,YALI1_C13676p
YALI0C09823g,YALI1_C13689p
YALI0C09845g,YALI1_C13726p
YALI0C09867t,YALI1_C13741t
YALI0C09889g,YALI1_C13768p
YALI0C09904g,YALI1_C13817p
YALI0C09933g,YALI1_C13856p
YALI0C09966g,YALI1_C13879p
YALI0C09988g,YALI1_C13890p
,YALI1_C13910p
,YALI1_C13919p
,YALI1_C13928p
YALI0C10010g,YALI1_C13973p
,YALI1_C14024p
,YALI1_C14027p
YALI0C10032g,YALI1_C14079p
YALI0C10054g,YALI1_C14106p
YALI0C10076g,YALI1_C14125p
,YALI1_C14147p
YALI0C10098g,YALI1_C14169p
YALI0C10120g,YALI1_C14183p
YALI0C10135g,YALI1_C14228p
,YALI1_C14249p
YALI0C10142g,YALI1_C14273p
,YALI1_C14284p
YALI0C10164r,YALI1_C14290r
,YALI1_C14332p
YALI0C10208g,YALI1_C14369p
,YALI1_C14390p
YALI0C10219r,YALI1_C14402r
,YALI1_C14433p
YALI0C10230g,YALI1_C14450p
YALI0C10252g,YALI1_C14498p
YALI0C10274g,YALI1_C14500p
,YALI1_C14516p
,YALI1_C14543p
YALI0C10292t,YALI1_C14547t
YALI0C10311g,YALI1_C14595p
,YALI1_C14641p
YALI0C10340g,YALI1_C14648p
YALI0C10362r,YALI1_C14658r
YALI0C10384r,YALI1_C14691r
YALI0C10406r,YALI1_C14692r
YALI0C10428g,YALI1_C14709p
,YALI1_C14725p
YALI0C10450g,YALI1_C14738p
