,#proteinId,ecNum,definition,catalyticActivity,cofactors,associatedDiseases,pathway,pathway_class,pathway_type,gotermId,gotermType,goName,goAcc
2067,3737,,,,,,,,,"[3846, 4927]","['cellular_component', 'biological_process']","['nuclear pore', 'transport']","['GO:0005643', 'GO:0006810']"
2068,3739,3.4.16.5,Carboxypeptidase C.,Release of a C-terminal amino acid with a broad specificity.,\N,\N,\N,\N,\N,"[2623, 4639, 2624, 2685]","['molecular_function', 'biological_process', 'molecular_function', 'molecular_function']","['serine carboxypeptidase activity', 'proteolysis', 'carboxypeptidase C activity', 'vacuolar carboxypeptidase Y']","['GO:0004185', 'GO:0006508', 'GO:0004186', 'GO:0004258']"
2069,3740,3.1.1.3,Triacylglycerol lipase.,Triacylglycerol + H(2)O = diacylglycerol + a fatty acid anion.,\N,Hepatic lipase deficiency; MIM:151670. Congenital lipase deficiency; MIM:246600. Wolman disease; MIM:278000.,Glycerolipid metabolism,Metabolism of Complex Lipids,METABOLIC,"[3166, 4758]","['molecular_function', 'biological_process']","['triacylglycerol lipase activity', 'lipid metabolic process']","['GO:0004806', 'GO:0006629']"
2070,3742,,,,,,,,,"[162, 10269, 3736, 3838, 3930, 9985, 13056]","['molecular_function', 'molecular_function', 'molecular_function', 'cellular_component', 'cellular_component', 'molecular_function', 'biological_process']","['nucleotide binding', 'nucleoside-triphosphatase activity', 'ATP binding', 'nucleus', 'cytoplasm', 'hydrolase activity', 'protein catabolic process']","['GO:0000166', 'GO:0017111', 'GO:0005524', 'GO:0005634', 'GO:0005737', 'GO:0016787', 'GO:0030163']"
2071,3749,2.1.1.-,Methyltransferases.,\N,\N,\N,Androgen and estrogen metabolism,Lipid Metabolism,METABOLIC,"[3838, 4513, 5846, 175, 2346, 5847, 5848, 5849, 5850, 5851, 5852, 5853, 5945, 5992, 6085, 6281, 6282, 6619, 6977, 9489, 9552, 9553, 9556, 9557, 9572, 9652, 9653, 9654, 9655, 9659, 9661, 9662, 9663, 9664, 10743, 11011, 11960, 13642, 19234, 19240, 19241, 19244, 19246, 19254, 19255, 19267, 19291, 19297, 19298, 19315, 19316]","['cellular_component', 'biological_process', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function']","['nucleus', 'rRNA processing', 'methyltransferase activity', 'rRNA (adenine-N6,N6-)-dimethyltransferase activity', 'C-terminal protein carboxyl methyltransferase activity', 'C-methyltransferase activity', 'N-methyltransferase activity', 'O-methyltransferase activity', 'S-methyltransferase activity', 'RNA methyltransferase activity', 'mRNA methyltransferase activity', 'tRNA methyltransferase activity', 'protein methyltransferase activity', 'site-specific DNA-methyltransferase (cytosine-specific) activity', '2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity', 'rRNA methyltransferase activity', ""rRNA (uridine-2'-O-)-methyltransferase activity"", 'DNA-methyltransferase activity', 'rRNA (cytosine-C5-967)-methyltransferase activity', 'selenocysteine methyltransferase activity', 'arginine N-methyltransferase activity', 'protein-arginine N-methyltransferase activity', 'lysine N-methyltransferase activity', 'protein-lysine N-methyltransferase activity', 'tRNA (uracil) methyltransferase activity', 'tRNA (guanine) methyltransferase activity', 'tRNA (guanosine) methyltransferase activity', 'tRNA (adenine)-methyltransferase activity', 'tRNA (cytosine)-methyltransferase activity', 'tRNA (uridine) methyltransferase activity', 'rRNA (adenine) methyltransferase activity', 'rRNA (cytosine) methyltransferase activity', 'rRNA (guanine) methyltransferase activity', 'rRNA (uridine) methyltransferase activity', 'protein-leucine O-methyltransferase activity', '1-phenanthrol methyltransferase activity', 'protein-arginine N5-methyltransferase activity', 'methylarsonite methyltransferase activity', 'demethylmenaquinone methyltransferase activity', 'cobalt-precorrin-6B C5-methyltransferase activity', 'cobalt-precorrin-7 C15-methyltransferase activity', 'cobalt-precorrin-5B C1-methyltransferase activity', 'cobalt-precorrin-3 C17-methyltransferase activity', 'dimethyladenosine transferase activity', 'dimethylamine methyltransferase activity', 'hydroxyneurosporene-O-methyltransferase activity', 'tRNA (adenine-57, 58-N(1)-) methyltransferase activity', 'methylamine-specific methylcobalamin:coenzyme M methyltransferase activity', 'trimethylamine methyltransferase activity', 'methanol-specific methylcobalamin:coenzyme M methyltransferase activity', 'monomethylamine methyltransferase activity']","['GO:0005634', 'GO:0006364', 'GO:0008168', 'GO:0000179', 'GO:0003880', 'GO:0008169', 'GO:0008170', 'GO:0008171', 'GO:0008172', 'GO:0008173', 'GO:0008174', 'GO:0008175', 'GO:0008276', 'GO:0008326', 'GO:0008425', 'GO:0008649', 'GO:0008650', 'GO:0009008', 'GO:0009383', 'GO:0016205', 'GO:0016273', 'GO:0016274', 'GO:0016278', 'GO:0016279', 'GO:0016300', 'GO:0016423', 'GO:0016424', 'GO:0016426', 'GO:0016427', 'GO:0016431', 'GO:0016433', 'GO:0016434', 'GO:0016435', 'GO:0016436', 'GO:0018423', 'GO:0018707', 'GO:0019702', 'GO:0030792', 'GO:0043770', 'GO:0043776', 'GO:0043777', 'GO:0043780', 'GO:0043782', 'GO:0043790', 'GO:0043791', 'GO:0043803', 'GO:0043827', 'GO:0043833', 'GO:0043834', 'GO:0043851', 'GO:0043852']"
2072,3749,2.1.1.-,Methyltransferases.,\N,\N,\N,Aminophosphonate metabolism,Metabolism of Other Amino Acids,METABOLIC,"[3838, 4513, 5846, 175, 2346, 5847, 5848, 5849, 5850, 5851, 5852, 5853, 5945, 5992, 6085, 6281, 6282, 6619, 6977, 9489, 9552, 9553, 9556, 9557, 9572, 9652, 9653, 9654, 9655, 9659, 9661, 9662, 9663, 9664, 10743, 11011, 11960, 13642, 19234, 19240, 19241, 19244, 19246, 19254, 19255, 19267, 19291, 19297, 19298, 19315, 19316]","['cellular_component', 'biological_process', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function']","['nucleus', 'rRNA processing', 'methyltransferase activity', 'rRNA (adenine-N6,N6-)-dimethyltransferase activity', 'C-terminal protein carboxyl methyltransferase activity', 'C-methyltransferase activity', 'N-methyltransferase activity', 'O-methyltransferase activity', 'S-methyltransferase activity', 'RNA methyltransferase activity', 'mRNA methyltransferase activity', 'tRNA methyltransferase activity', 'protein methyltransferase activity', 'site-specific DNA-methyltransferase (cytosine-specific) activity', '2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity', 'rRNA methyltransferase activity', ""rRNA (uridine-2'-O-)-methyltransferase activity"", 'DNA-methyltransferase activity', 'rRNA (cytosine-C5-967)-methyltransferase activity', 'selenocysteine methyltransferase activity', 'arginine N-methyltransferase activity', 'protein-arginine N-methyltransferase activity', 'lysine N-methyltransferase activity', 'protein-lysine N-methyltransferase activity', 'tRNA (uracil) methyltransferase activity', 'tRNA (guanine) methyltransferase activity', 'tRNA (guanosine) methyltransferase activity', 'tRNA (adenine)-methyltransferase activity', 'tRNA (cytosine)-methyltransferase activity', 'tRNA (uridine) methyltransferase activity', 'rRNA (adenine) methyltransferase activity', 'rRNA (cytosine) methyltransferase activity', 'rRNA (guanine) methyltransferase activity', 'rRNA (uridine) methyltransferase activity', 'protein-leucine O-methyltransferase activity', '1-phenanthrol methyltransferase activity', 'protein-arginine N5-methyltransferase activity', 'methylarsonite methyltransferase activity', 'demethylmenaquinone methyltransferase activity', 'cobalt-precorrin-6B C5-methyltransferase activity', 'cobalt-precorrin-7 C15-methyltransferase activity', 'cobalt-precorrin-5B C1-methyltransferase activity', 'cobalt-precorrin-3 C17-methyltransferase activity', 'dimethyladenosine transferase activity', 'dimethylamine methyltransferase activity', 'hydroxyneurosporene-O-methyltransferase activity', 'tRNA (adenine-57, 58-N(1)-) methyltransferase activity', 'methylamine-specific methylcobalamin:coenzyme M methyltransferase activity', 'trimethylamine methyltransferase activity', 'methanol-specific methylcobalamin:coenzyme M methyltransferase activity', 'monomethylamine methyltransferase activity']","['GO:0005634', 'GO:0006364', 'GO:0008168', 'GO:0000179', 'GO:0003880', 'GO:0008169', 'GO:0008170', 'GO:0008171', 'GO:0008172', 'GO:0008173', 'GO:0008174', 'GO:0008175', 'GO:0008276', 'GO:0008326', 'GO:0008425', 'GO:0008649', 'GO:0008650', 'GO:0009008', 'GO:0009383', 'GO:0016205', 'GO:0016273', 'GO:0016274', 'GO:0016278', 'GO:0016279', 'GO:0016300', 'GO:0016423', 'GO:0016424', 'GO:0016426', 'GO:0016427', 'GO:0016431', 'GO:0016433', 'GO:0016434', 'GO:0016435', 'GO:0016436', 'GO:0018423', 'GO:0018707', 'GO:0019702', 'GO:0030792', 'GO:0043770', 'GO:0043776', 'GO:0043777', 'GO:0043780', 'GO:0043782', 'GO:0043790', 'GO:0043791', 'GO:0043803', 'GO:0043827', 'GO:0043833', 'GO:0043834', 'GO:0043851', 'GO:0043852']"
2073,3749,2.1.1.-,Methyltransferases.,\N,\N,\N,Porphyrin and chlorophyll metabolism,Metabolism of Cofactors and Vitamins,METABOLIC,"[3838, 4513, 5846, 175, 2346, 5847, 5848, 5849, 5850, 5851, 5852, 5853, 5945, 5992, 6085, 6281, 6282, 6619, 6977, 9489, 9552, 9553, 9556, 9557, 9572, 9652, 9653, 9654, 9655, 9659, 9661, 9662, 9663, 9664, 10743, 11011, 11960, 13642, 19234, 19240, 19241, 19244, 19246, 19254, 19255, 19267, 19291, 19297, 19298, 19315, 19316]","['cellular_component', 'biological_process', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function']","['nucleus', 'rRNA processing', 'methyltransferase activity', 'rRNA (adenine-N6,N6-)-dimethyltransferase activity', 'C-terminal protein carboxyl methyltransferase activity', 'C-methyltransferase activity', 'N-methyltransferase activity', 'O-methyltransferase activity', 'S-methyltransferase activity', 'RNA methyltransferase activity', 'mRNA methyltransferase activity', 'tRNA methyltransferase activity', 'protein methyltransferase activity', 'site-specific DNA-methyltransferase (cytosine-specific) activity', '2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity', 'rRNA methyltransferase activity', ""rRNA (uridine-2'-O-)-methyltransferase activity"", 'DNA-methyltransferase activity', 'rRNA (cytosine-C5-967)-methyltransferase activity', 'selenocysteine methyltransferase activity', 'arginine N-methyltransferase activity', 'protein-arginine N-methyltransferase activity', 'lysine N-methyltransferase activity', 'protein-lysine N-methyltransferase activity', 'tRNA (uracil) methyltransferase activity', 'tRNA (guanine) methyltransferase activity', 'tRNA (guanosine) methyltransferase activity', 'tRNA (adenine)-methyltransferase activity', 'tRNA (cytosine)-methyltransferase activity', 'tRNA (uridine) methyltransferase activity', 'rRNA (adenine) methyltransferase activity', 'rRNA (cytosine) methyltransferase activity', 'rRNA (guanine) methyltransferase activity', 'rRNA (uridine) methyltransferase activity', 'protein-leucine O-methyltransferase activity', '1-phenanthrol methyltransferase activity', 'protein-arginine N5-methyltransferase activity', 'methylarsonite methyltransferase activity', 'demethylmenaquinone methyltransferase activity', 'cobalt-precorrin-6B C5-methyltransferase activity', 'cobalt-precorrin-7 C15-methyltransferase activity', 'cobalt-precorrin-5B C1-methyltransferase activity', 'cobalt-precorrin-3 C17-methyltransferase activity', 'dimethyladenosine transferase activity', 'dimethylamine methyltransferase activity', 'hydroxyneurosporene-O-methyltransferase activity', 'tRNA (adenine-57, 58-N(1)-) methyltransferase activity', 'methylamine-specific methylcobalamin:coenzyme M methyltransferase activity', 'trimethylamine methyltransferase activity', 'methanol-specific methylcobalamin:coenzyme M methyltransferase activity', 'monomethylamine methyltransferase activity']","['GO:0005634', 'GO:0006364', 'GO:0008168', 'GO:0000179', 'GO:0003880', 'GO:0008169', 'GO:0008170', 'GO:0008171', 'GO:0008172', 'GO:0008173', 'GO:0008174', 'GO:0008175', 'GO:0008276', 'GO:0008326', 'GO:0008425', 'GO:0008649', 'GO:0008650', 'GO:0009008', 'GO:0009383', 'GO:0016205', 'GO:0016273', 'GO:0016274', 'GO:0016278', 'GO:0016279', 'GO:0016300', 'GO:0016423', 'GO:0016424', 'GO:0016426', 'GO:0016427', 'GO:0016431', 'GO:0016433', 'GO:0016434', 'GO:0016435', 'GO:0016436', 'GO:0018423', 'GO:0018707', 'GO:0019702', 'GO:0030792', 'GO:0043770', 'GO:0043776', 'GO:0043777', 'GO:0043780', 'GO:0043782', 'GO:0043790', 'GO:0043791', 'GO:0043803', 'GO:0043827', 'GO:0043833', 'GO:0043834', 'GO:0043851', 'GO:0043852']"
2074,3749,2.1.1.-,Methyltransferases.,\N,\N,\N,Ubiquinone biosynthesis,Metabolism of Cofactors and Vitamins,METABOLIC,"[3838, 4513, 5846, 175, 2346, 5847, 5848, 5849, 5850, 5851, 5852, 5853, 5945, 5992, 6085, 6281, 6282, 6619, 6977, 9489, 9552, 9553, 9556, 9557, 9572, 9652, 9653, 9654, 9655, 9659, 9661, 9662, 9663, 9664, 10743, 11011, 11960, 13642, 19234, 19240, 19241, 19244, 19246, 19254, 19255, 19267, 19291, 19297, 19298, 19315, 19316]","['cellular_component', 'biological_process', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function']","['nucleus', 'rRNA processing', 'methyltransferase activity', 'rRNA (adenine-N6,N6-)-dimethyltransferase activity', 'C-terminal protein carboxyl methyltransferase activity', 'C-methyltransferase activity', 'N-methyltransferase activity', 'O-methyltransferase activity', 'S-methyltransferase activity', 'RNA methyltransferase activity', 'mRNA methyltransferase activity', 'tRNA methyltransferase activity', 'protein methyltransferase activity', 'site-specific DNA-methyltransferase (cytosine-specific) activity', '2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity', 'rRNA methyltransferase activity', ""rRNA (uridine-2'-O-)-methyltransferase activity"", 'DNA-methyltransferase activity', 'rRNA (cytosine-C5-967)-methyltransferase activity', 'selenocysteine methyltransferase activity', 'arginine N-methyltransferase activity', 'protein-arginine N-methyltransferase activity', 'lysine N-methyltransferase activity', 'protein-lysine N-methyltransferase activity', 'tRNA (uracil) methyltransferase activity', 'tRNA (guanine) methyltransferase activity', 'tRNA (guanosine) methyltransferase activity', 'tRNA (adenine)-methyltransferase activity', 'tRNA (cytosine)-methyltransferase activity', 'tRNA (uridine) methyltransferase activity', 'rRNA (adenine) methyltransferase activity', 'rRNA (cytosine) methyltransferase activity', 'rRNA (guanine) methyltransferase activity', 'rRNA (uridine) methyltransferase activity', 'protein-leucine O-methyltransferase activity', '1-phenanthrol methyltransferase activity', 'protein-arginine N5-methyltransferase activity', 'methylarsonite methyltransferase activity', 'demethylmenaquinone methyltransferase activity', 'cobalt-precorrin-6B C5-methyltransferase activity', 'cobalt-precorrin-7 C15-methyltransferase activity', 'cobalt-precorrin-5B C1-methyltransferase activity', 'cobalt-precorrin-3 C17-methyltransferase activity', 'dimethyladenosine transferase activity', 'dimethylamine methyltransferase activity', 'hydroxyneurosporene-O-methyltransferase activity', 'tRNA (adenine-57, 58-N(1)-) methyltransferase activity', 'methylamine-specific methylcobalamin:coenzyme M methyltransferase activity', 'trimethylamine methyltransferase activity', 'methanol-specific methylcobalamin:coenzyme M methyltransferase activity', 'monomethylamine methyltransferase activity']","['GO:0005634', 'GO:0006364', 'GO:0008168', 'GO:0000179', 'GO:0003880', 'GO:0008169', 'GO:0008170', 'GO:0008171', 'GO:0008172', 'GO:0008173', 'GO:0008174', 'GO:0008175', 'GO:0008276', 'GO:0008326', 'GO:0008425', 'GO:0008649', 'GO:0008650', 'GO:0009008', 'GO:0009383', 'GO:0016205', 'GO:0016273', 'GO:0016274', 'GO:0016278', 'GO:0016279', 'GO:0016300', 'GO:0016423', 'GO:0016424', 'GO:0016426', 'GO:0016427', 'GO:0016431', 'GO:0016433', 'GO:0016434', 'GO:0016435', 'GO:0016436', 'GO:0018423', 'GO:0018707', 'GO:0019702', 'GO:0030792', 'GO:0043770', 'GO:0043776', 'GO:0043777', 'GO:0043780', 'GO:0043782', 'GO:0043790', 'GO:0043791', 'GO:0043803', 'GO:0043827', 'GO:0043833', 'GO:0043834', 'GO:0043851', 'GO:0043852']"
2075,3749,2.1.1.-,Methyltransferases.,\N,\N,\N,Histidine metabolism,Amino Acid Metabolism,METABOLIC,"[3838, 4513, 5846, 175, 2346, 5847, 5848, 5849, 5850, 5851, 5852, 5853, 5945, 5992, 6085, 6281, 6282, 6619, 6977, 9489, 9552, 9553, 9556, 9557, 9572, 9652, 9653, 9654, 9655, 9659, 9661, 9662, 9663, 9664, 10743, 11011, 11960, 13642, 19234, 19240, 19241, 19244, 19246, 19254, 19255, 19267, 19291, 19297, 19298, 19315, 19316]","['cellular_component', 'biological_process', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function']","['nucleus', 'rRNA processing', 'methyltransferase activity', 'rRNA (adenine-N6,N6-)-dimethyltransferase activity', 'C-terminal protein carboxyl methyltransferase activity', 'C-methyltransferase activity', 'N-methyltransferase activity', 'O-methyltransferase activity', 'S-methyltransferase activity', 'RNA methyltransferase activity', 'mRNA methyltransferase activity', 'tRNA methyltransferase activity', 'protein methyltransferase activity', 'site-specific DNA-methyltransferase (cytosine-specific) activity', '2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity', 'rRNA methyltransferase activity', ""rRNA (uridine-2'-O-)-methyltransferase activity"", 'DNA-methyltransferase activity', 'rRNA (cytosine-C5-967)-methyltransferase activity', 'selenocysteine methyltransferase activity', 'arginine N-methyltransferase activity', 'protein-arginine N-methyltransferase activity', 'lysine N-methyltransferase activity', 'protein-lysine N-methyltransferase activity', 'tRNA (uracil) methyltransferase activity', 'tRNA (guanine) methyltransferase activity', 'tRNA (guanosine) methyltransferase activity', 'tRNA (adenine)-methyltransferase activity', 'tRNA (cytosine)-methyltransferase activity', 'tRNA (uridine) methyltransferase activity', 'rRNA (adenine) methyltransferase activity', 'rRNA (cytosine) methyltransferase activity', 'rRNA (guanine) methyltransferase activity', 'rRNA (uridine) methyltransferase activity', 'protein-leucine O-methyltransferase activity', '1-phenanthrol methyltransferase activity', 'protein-arginine N5-methyltransferase activity', 'methylarsonite methyltransferase activity', 'demethylmenaquinone methyltransferase activity', 'cobalt-precorrin-6B C5-methyltransferase activity', 'cobalt-precorrin-7 C15-methyltransferase activity', 'cobalt-precorrin-5B C1-methyltransferase activity', 'cobalt-precorrin-3 C17-methyltransferase activity', 'dimethyladenosine transferase activity', 'dimethylamine methyltransferase activity', 'hydroxyneurosporene-O-methyltransferase activity', 'tRNA (adenine-57, 58-N(1)-) methyltransferase activity', 'methylamine-specific methylcobalamin:coenzyme M methyltransferase activity', 'trimethylamine methyltransferase activity', 'methanol-specific methylcobalamin:coenzyme M methyltransferase activity', 'monomethylamine methyltransferase activity']","['GO:0005634', 'GO:0006364', 'GO:0008168', 'GO:0000179', 'GO:0003880', 'GO:0008169', 'GO:0008170', 'GO:0008171', 'GO:0008172', 'GO:0008173', 'GO:0008174', 'GO:0008175', 'GO:0008276', 'GO:0008326', 'GO:0008425', 'GO:0008649', 'GO:0008650', 'GO:0009008', 'GO:0009383', 'GO:0016205', 'GO:0016273', 'GO:0016274', 'GO:0016278', 'GO:0016279', 'GO:0016300', 'GO:0016423', 'GO:0016424', 'GO:0016426', 'GO:0016427', 'GO:0016431', 'GO:0016433', 'GO:0016434', 'GO:0016435', 'GO:0016436', 'GO:0018423', 'GO:0018707', 'GO:0019702', 'GO:0030792', 'GO:0043770', 'GO:0043776', 'GO:0043777', 'GO:0043780', 'GO:0043782', 'GO:0043790', 'GO:0043791', 'GO:0043803', 'GO:0043827', 'GO:0043833', 'GO:0043834', 'GO:0043851', 'GO:0043852']"
2076,3749,2.1.1.-,Methyltransferases.,\N,\N,\N,Selenoamino acid metabolism,Metabolism of Other Amino Acids,METABOLIC,"[3838, 4513, 5846, 175, 2346, 5847, 5848, 5849, 5850, 5851, 5852, 5853, 5945, 5992, 6085, 6281, 6282, 6619, 6977, 9489, 9552, 9553, 9556, 9557, 9572, 9652, 9653, 9654, 9655, 9659, 9661, 9662, 9663, 9664, 10743, 11011, 11960, 13642, 19234, 19240, 19241, 19244, 19246, 19254, 19255, 19267, 19291, 19297, 19298, 19315, 19316]","['cellular_component', 'biological_process', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function']","['nucleus', 'rRNA processing', 'methyltransferase activity', 'rRNA (adenine-N6,N6-)-dimethyltransferase activity', 'C-terminal protein carboxyl methyltransferase activity', 'C-methyltransferase activity', 'N-methyltransferase activity', 'O-methyltransferase activity', 'S-methyltransferase activity', 'RNA methyltransferase activity', 'mRNA methyltransferase activity', 'tRNA methyltransferase activity', 'protein methyltransferase activity', 'site-specific DNA-methyltransferase (cytosine-specific) activity', '2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity', 'rRNA methyltransferase activity', ""rRNA (uridine-2'-O-)-methyltransferase activity"", 'DNA-methyltransferase activity', 'rRNA (cytosine-C5-967)-methyltransferase activity', 'selenocysteine methyltransferase activity', 'arginine N-methyltransferase activity', 'protein-arginine N-methyltransferase activity', 'lysine N-methyltransferase activity', 'protein-lysine N-methyltransferase activity', 'tRNA (uracil) methyltransferase activity', 'tRNA (guanine) methyltransferase activity', 'tRNA (guanosine) methyltransferase activity', 'tRNA (adenine)-methyltransferase activity', 'tRNA (cytosine)-methyltransferase activity', 'tRNA (uridine) methyltransferase activity', 'rRNA (adenine) methyltransferase activity', 'rRNA (cytosine) methyltransferase activity', 'rRNA (guanine) methyltransferase activity', 'rRNA (uridine) methyltransferase activity', 'protein-leucine O-methyltransferase activity', '1-phenanthrol methyltransferase activity', 'protein-arginine N5-methyltransferase activity', 'methylarsonite methyltransferase activity', 'demethylmenaquinone methyltransferase activity', 'cobalt-precorrin-6B C5-methyltransferase activity', 'cobalt-precorrin-7 C15-methyltransferase activity', 'cobalt-precorrin-5B C1-methyltransferase activity', 'cobalt-precorrin-3 C17-methyltransferase activity', 'dimethyladenosine transferase activity', 'dimethylamine methyltransferase activity', 'hydroxyneurosporene-O-methyltransferase activity', 'tRNA (adenine-57, 58-N(1)-) methyltransferase activity', 'methylamine-specific methylcobalamin:coenzyme M methyltransferase activity', 'trimethylamine methyltransferase activity', 'methanol-specific methylcobalamin:coenzyme M methyltransferase activity', 'monomethylamine methyltransferase activity']","['GO:0005634', 'GO:0006364', 'GO:0008168', 'GO:0000179', 'GO:0003880', 'GO:0008169', 'GO:0008170', 'GO:0008171', 'GO:0008172', 'GO:0008173', 'GO:0008174', 'GO:0008175', 'GO:0008276', 'GO:0008326', 'GO:0008425', 'GO:0008649', 'GO:0008650', 'GO:0009008', 'GO:0009383', 'GO:0016205', 'GO:0016273', 'GO:0016274', 'GO:0016278', 'GO:0016279', 'GO:0016300', 'GO:0016423', 'GO:0016424', 'GO:0016426', 'GO:0016427', 'GO:0016431', 'GO:0016433', 'GO:0016434', 'GO:0016435', 'GO:0016436', 'GO:0018423', 'GO:0018707', 'GO:0019702', 'GO:0030792', 'GO:0043770', 'GO:0043776', 'GO:0043777', 'GO:0043780', 'GO:0043782', 'GO:0043790', 'GO:0043791', 'GO:0043803', 'GO:0043827', 'GO:0043833', 'GO:0043834', 'GO:0043851', 'GO:0043852']"
